,distance,x_acceleration,y_acceleration,z_acceleration,x_rotation,y_rotation,z_rotation,channel_415nm,channel_445nm,channel_480nm,channel_515nm,channel_555nm,channel_590nm,channel_630nm,channel_680nm,clear,near_ir
0,120.4,-0.0006108652381980154,-0.005497787143782138,2.7100735882e-312,-0.0370887503,0.15672988029999999,2.710073589463e-312,5796.0,14565.0,15655.0,32151.0,53036.0,65535.0,65535.0,2.710073591677e-312,65535.0,18884.0
1,120.4,-0.0006108652381980154,-0.005497787143782138,2.7100735882e-312,-0.0370887503,0.15672988029999999,2.710073589463e-312,5796.0,14565.0,15655.0,32151.0,53036.0,65535.0,65535.0,2.710073591677e-312,65535.0,18884.0
2,119.6,-0.0013744467859455344,-0.006414085001079161,2.7100735882e-312,-0.035892339,0.1495514125,2.710073589463e-312,5796.0,14565.0,15655.0,32151.0,53036.0,65535.0,65535.0,2.710073591677e-312,65535.0,18884.0
3,120.5,-0.0013744467859455344,-0.005497787143782138,2.7100735882e-312,-0.0299102825,0.14476576730000001,2.710073589463e-312,5796.0,14565.0,15655.0,32151.0,53036.0,65535.0,65535.0,2.710073591677e-312,65535.0,18884.0
4,120.8,-0.000916297857297023,-0.0070249502392771765,2.7100735882e-312,-0.0275174599,0.14476576730000001,2.710073589463e-312,5796.0,14565.0,15655.0,32151.0,53036.0,65535.0,65535.0,2.710073591677e-312,65535.0,18884.0
5,119.5,-0.00015271630954950385,-0.006108652381980153,2.7100735882e-312,-0.031106693799999998,0.1531406464,2.710073589463e-312,5796.0,14565.0,15655.0,32151.0,53036.0,65535.0,65535.0,2.710073591677e-312,65535.0,18884.0
6,118.8,-0.0006108652381980154,-0.006108652381980153,2.7100735882e-312,-0.0334995164,0.1579262916,2.710073589463e-312,5796.0,14565.0,15655.0,32151.0,53036.0,65535.0,65535.0,2.710073591677e-312,65535.0,18884.0
7,118.9,-0.0003054326190990077,-0.006261368691529657,2.7100735882e-312,-0.0334995164,0.1579262916,2.710073589463e-312,5796.0,14565.0,15655.0,32151.0,53036.0,65535.0,65535.0,2.710073591677e-312,65535.0,18884.0
8,120.0,-0.0015271630954950383,-0.005650503453331642,2.7100735882e-312,-0.0323031051,0.1351944769,2.710073589463e-312,5796.0,14565.0,15655.0,32151.0,53036.0,65535.0,65535.0,2.710073591677e-312,65535.0,18884.0
9,118.0,-0.0012217304763960308,-0.005955936072430649,2.7100735882e-312,-0.031106693799999998,0.1483550012,2.710073589463e-312,5796.0,14565.0,15655.0,32151.0,53036.0,65535.0,65535.0,2.710073591677e-312,65535.0,18884.0
10,120.1,-0.0012217304763960308,-0.006414085001079161,2.7100735882e-312,-0.0370887503,0.1543370577,2.710073589463e-312,5796.0,14565.0,15655.0,32151.0,53036.0,65535.0,65535.0,2.710073591677e-312,65535.0,18884.0
11,120.5,-0.0015271630954950383,-0.006261368691529657,2.7100735882e-312,-0.0334995164,0.1591227029,2.710073589463e-312,5796.0,14565.0,15655.0,32151.0,53036.0,65535.0,65535.0,2.710073591677e-312,65535.0,18884.0
12,121.1,-0.0012217304763960308,-0.006414085001079161,2.7100735882e-312,-0.0299102825,0.1543370577,2.710073589463e-312,5796.0,14565.0,15655.0,32151.0,53036.0,65535.0,65535.0,2.710073591677e-312,65535.0,18884.0
13,120.8,-0.0013744467859455344,-0.005803219762881146,2.7100735882e-312,-0.0334995164,0.1459621786,2.710073589463e-312,5796.0,14565.0,15655.0,32151.0,53036.0,65535.0,65535.0,2.710073591677e-312,65535.0,18884.0
14,121.0,-0.0015271630954950383,-0.006261368691529657,2.7100735882e-312,-0.0263210486,0.1543370577,2.710073589463e-312,5796.0,14565.0,15655.0,32151.0,53036.0,65535.0,65535.0,2.710073591677e-312,65535.0,18884.0
15,119.3,-0.0004581489286485115,-0.006414085001079161,2.7100735882e-312,-0.0299102825,0.1495514125,2.710073589463e-312,5796.0,14565.0,15655.0,32151.0,53036.0,65535.0,65535.0,2.710073591677e-312,65535.0,18884.0
16,120.8,-0.0015271630954950383,-0.006872233929727673,2.7100735882e-312,-0.021535403399999997,0.1543370577,2.710073589463e-312,5796.0,14565.0,15655.0,32151.0,53036.0,65535.0,65535.0,2.710073591677e-312,65535.0,18884.0
17,120.2,-0.000916297857297023,-0.006414085001079161,2.7100735882e-312,-0.0299102825,0.1483550012,2.710073589463e-312,5796.0,14565.0,15655.0,32151.0,53036.0,65535.0,65535.0,2.710073591677e-312,65535.0,18884.0
18,119.6,-0.0006108652381980154,-0.006414085001079161,2.7100735882e-312,-0.0287138712,0.1519442351,2.710073589463e-312,5796.0,14565.0,15655.0,32151.0,53036.0,65535.0,65535.0,2.710073591677e-312,65535.0,18884.0
19,120.4,-0.0013744467859455344,-0.006108652381980153,2.7100735882e-312,-0.0263210486,0.1411765334,2.710073589463e-312,5796.0,14565.0,15655.0,32151.0,53036.0,65535.0,65535.0,2.710073591677e-312,65535.0,18884.0
20,120.6,-0.000916297857297023,-0.005955936072430649,2.7100735882e-312,-0.0334995164,0.155533469,2.710073589463e-312,5796.0,14565.0,15655.0,32151.0,53036.0,65535.0,65535.0,2.710073591677e-312,65535.0,18884.0
