distance
100
199.8
100
200.9
100
198.9
100
199.0
100
199.8
100
199.5
100
198.6
100
201.4
100
201.1
100
5.1
3.8
5.7
27.9
27.9
100
199.6
100
201.2
100
25.8
22.3
22.7
25.0
30.4
30.3
34.4
100
200.0
100
199.3
100
29.2
31.2
32.0
32.8
35.0
29.1
30.0
19.0
100
100
25.4
100
100
100
43.8
38.1
37.4
36.1
36.6
35.1
35.5
31.7
28.4
24.6
21.5
19.1
16.8
11.5
100
100
200.7
100
199.3
100
